HBA Department
25003 Deodorant-Shave-04' L-Released
",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0087863900029,,,1,,,EVERYMAN JACK,,,,DEODORANT-FRESH SCENT,,,,,,3.00,,,OZ,,,,,,,2.80,,,,,,
6,0080500200037,,,2,,,HERBAN COWBOY,,,,DEODORANT-DUSK,,,,,,2.80,,,OZ,,,,,,,2.25,,,,,,
7,0080500200033,,,1,,,HERBAN COWBOY,,,,DEODORANT-MAX PROTECTION-FOREST,,,,,,2.80,,,OZ,,,,,,,2.25,,,,,,
8,0080500200086,,,1,,,HERBAN COWBOY,,,,DEODORANT-MAX PROTECTION-SPORT,,,,,,2.80,,,OZ,,,,,,,2.25,,,,,,
9,0080500200061,,,1,,,HERBAN COWBOY,,,,BLOSSOM DEODORANT,,,,,,2.80,,,OZ,,,,,,,2.25,,,,,,
10,0080500200085,,,1,,,HERBAN COWBOY,,,,DEODORANT-MAX PROTECTION-LOVE,,,,,,2.80,,,OZ,,,,,,,2.25,,,,,,
11,0007852209055,,,1,,,JASON,,,,DEODORANT-STICK-APRICOT,,,,,,2.50,,,OZ,,,,,,,2.25,,,,,,
12,0007852209025,,,1,,,JASON,,,,DEODORANT-STICK-ALOE VERA,,,,,,2.50,,,OZ,,,,,,,2.25,,,,,,
13,0007852209045,,,1,,,JASON,,,,DEODORANT-STICK-TEA TREE,,,,,,2.50,,,OZ,,,,,,,2.25,,,,,,
14,0007852209065,,,1,,,JASON,,,,DEODORANT-STICK-LAVENDER,,,,,,2.50,,,OZ,,,,,,,2.25,,,,,,
15,0007852200196,,,1,,,JASON,,,,DEODORANT-STICK-FOREST FRESH,,,,,,2.50,,,OZ,,,,,,,2.25,,,,,,
16,0007852200198,,,1,,,JASON,,,,DEODORANT SPRAY-FOREST FRESH,,,,,,3.80,,,FOZ,,,,,,,1.80,,,,,,
17,0007852200197,,,1,,,JASON,,,,DEODORANT SPRAY-FRSH CUCUMBER,,,,,,3.80,,,FOZ,,,,,,,1.80,,,,,,
18,0007852200199,,,1,,,JASON,,,,DEODORANT SPRAY-SOFT ROSE,,,,,,3.80,,,FOZ,,,,,,,1.80,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
