11,0065801012221,,,,1,,,GARDEN OF LIFE,,,,,,DR. FRMLTD PRBIOTCS KIDS STRW SHELF,,,,,30.00,,,CHW,,,,,,,2.40,,,,,
12,0060827411100,,,,1,,,CHILDLIFE,,,,,,PROBIOTICS WITH COLOSTRUM-BERRY,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.30,,,,,
13,0079001103014,,,,1,,,JARROW FORMULAS,,,,,,JARRO -DOPHILUS BABY,,,,,0.51,,,FOZ,,,Mar 13 2016 1,,,,2.05,,,,,
14,0067923405551,,,,1,,,MOMMYS BLISS,,,,,,PROBIOTIC DROPS,,,,,0.34,,,FOZ,,,Mar 13 2016 1,,,,1.75,,,,,
15,0067923405563,,,,1,,,MOMMYS BLISS,,,,,,PROBIOTIC DROPS + VITAMIN D,,,,,0.34,,,FOZ,,,,,,,1.75,,,,,
16,0067923405612,,,,1,,,MOMMYS BLISS,,,,,,MULTIVITAMIN ORGANIC DROPS,,,,,1.00,,,FOZ,,,,,,,2.37,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0075592904611,1,MICHAELS NATRO PRG,PEDIAVITES,8.00,OZ,
18,0001579408117,1,COUNTRY LIFE,MAXI BABY CARE LIQUID,6.00,OZ,
19,0002188811311,1,RAINBOW LIGHT,NUTRISTART MULTIVITAMIN POWDER,25.00,PK,
Totals:,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 5.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002791700139,1,NUTRITION NOW,RHINO GUMMY BEAR VITES,70.00,TAB,
2,0007628010032,1,VEGLIFE,VEGAN KIDS MULTIPLE,60.00,VCP,
3,0007628004797,1,SOLARAY,CHILDRENS CHEW VITS MINS,120.00,WAF,
4,0005149460145,1,MEGAFOOD,POWDER-KIDS-DAILY MULTI-JAR,49.80,GM,
5,0005149410179,1,MEGAFOOD,KIDS ONE DAILY,30.00,TAB,
6,0005149410180,1,MEGAFOOD,KIDS ONE DAILY,60.00,TAB,
7,0075592904500,1,MICHAELS NATRO PRG,PRE TEEN GIRLS MULTIVITAMIN TABS,60.00,VTB,
8,0075592904401,1,MICHAELS NATRO PRG,TEEN GIRLS MULTI VITAMIN TABS,90.00,TAB,
9,0075592904201,1,MICHAELS NATRO PRG,PRE TEEN BOYS MULTI VITAMIN,60.00,VTB,
10,0075592904110,1,MICHAELS NATRO PRG,TEEN BOYS MULTI VITAMIN CAPSULES,60.00,CAP,
11,0002124574810,1,KAL,ENHANCED ENERGY TEEN,60.00,TAB,
12,0081705302065,1,SMARTY PANTS,MULTIVITAMINS-TEEN GIRL COMPLETE,120.00,CNT,
13,0081705302067,1,SMARTY PANTS,MULTIVITAMINS-TEEN GUY COMPLETE,120.00,CNT,
14,0002188878081,1,RAINBOW LIGHT,TEEN GIRLS MULTIVITAMIN SKIN SUPPORT,180.00,TAB,
15,0002188878101,1,RAINBOW LIGHT,MULTI-HEALTHY BRAIN SUPPORT-TEEN GRL,180.00,TAB,
16,0002188878071,1,RAINBOW LIGHT,YOUNG MENS MULTIVITAMIN SKIN SUPPORT,180.00,TAB,
17,0002188878111,1,RAINBOW LIGHT,MULTI-HEALTHY BRAIN SUPPORT-TEEN BOY,180.00,TAB,
18,0002188812181,1,RAINBOW LIGHT,TEEN ENERGY MULTIVITAMIN GUMMY,30.00,PK,
Totals:,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 5.00"",   Product: 3' 11.84""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007663059129,,,,1,,,AMERICAN HEALTH,,,,,,KID STIKS-DRINK MIX POWDER-PACKET,,,,,0.32,,,OZ,,,Mar 13 2016 1,,,,0.95,,,,,
2,0007663058887,,,,1,,,AMERICAN HEALTH,,,,,,KID STIKS-DRINK MIX-GRAPE-BOX,,,,,9.73,,,OZ,,,Mar 13 2016 1,,,,3.00,,,,,
