Positio,,,UPC,,,,Facings,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 8' 0.00"",    Height: 0' 5.50"",   Depth: 1' 8.00"",   Product: 7' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007732683079,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-ANTIPLAQ-WHITE-PEPPERMINT,,,,5.50,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
2,,0007732683086,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-ANTIPLAQ-WHITE SPEARMINT,,,,5.50,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
3,,0007732683075,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-ANTIPLAQ-WHITENING-FENNEL,,,,5.50,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
4,,0007732683108,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-ANTIPLQ-WHITE GEL-SPRMNT,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
5,,0007732683213,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-BOTANICALLY BRIGHT-PPRMNT,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
6,,0007732683214,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-BOTANICALLY BRIGHT-SPRMNT,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
7,,0007732683416,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-BOTANICALLY FRSH-MINT,,,,4.70,,OZ,,,,,,,,,,,2.20,,,,,
8,,0007732683081,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-WHOLE CARE-PEPPERMINT,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
9,,0007732683088,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-WHOLE CARE-SPEARMINT,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
10,,0007732683073,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-WHOLE CARE-CINNAMON CLOVE,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
11,,0007732683091,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-WHOLE CARE-WINTERMINT,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
12,,0007732683080,,,,1,,,TOMS OF MAINE,,,,,,WHOLE CARE FLUORIDE TOOTHPASTE PEPPE,,,,4.70,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
13,,0007732683408,,,,1,,,TOMS OF MAINE,,,,,,TOOTHPASTE-ENAMEL STRENGTH-PEPRMNT,,,,4.00,,OZ,,,,,,Feb 21 2016 1,,,,,2.20,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
