Positio,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0063687422285,,,1,,,EVERYONE,,,,SOAP-COCONUT LEMON,,,,16.00,,,FOZ,,,,,,,3.10,,,,,
13,0063687412148,,,1,,,EVERYONE,,,,SOAP-EVERYONE-COCONUT & LEMON,,,,32.00,,,FOZ,,,Jul 17 2016 1,,,,3.70,,,,,
14,0063687422291,,,1,,,EVERYONE,,,,SOAP-CITRUS MINT,,,,16.00,,,FOZ,,,,,,,3.10,,,,,
15,0063687412150,,,1,,,EVERYONE,,,,SOAP-EVERYONE-CITRUS & MINT,,,,32.00,,,FOZ,,,Jul 17 2016 1,,,,3.70,,,,,
16,0063687422190,,,1,,,EVERYONE,,,,SOAP-3 IN 1-MINT + COCONUT,,,,32.00,,,FOZ,,,,,,,3.70,,,,,
17,0063687422037,,,1,,,EVERYONE,,,,SOAP-3 IN 1-UNSCENTED,,,,32.00,,,FOZ,,,,,,,3.70,,,,,
18,0063687422001,,,1,,,EVERYONE,,,,CEDAR & CITRUS SOAP FOR EVERY MAN,,,,32.00,,,FOZ,,,Jun 12 2016 1,,,,3.70,,,,,
19,0063687422405,,,1,,,EVERYONE,,,,SOAP FOR EVERY MAN-SAGE & VERBENA,,,,32.00,,,FOZ,,,,,,,3.70,,,,,
20,0087863900010,,,1,,,EVERYMAN JACK,,,,BODY WASH-SANDALWOOD,,,,16.90,,,FOZ,,,Jun 12 2016 1,,,,3.47,,,,,
21,0087863900623,,,1,,,EVERYMAN JACK,,,,BODY WASH & SHOWER GEL-SANDALWOOD,,,,33.80,,,FOZ,,,,,,,4.07,,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0087863900008,,,1,,,EVERYMAN JACK,,,,BODY WASH CEDARWOOD,,,,16.90,,,FOZ,,,Jun 12 2016 1,,,,3.47,,,,,
23,0087863900625,,,1,,,EVERYMAN JACK,,,,BODY WASH & SHOWER GEL-CEDARWOOD,,,,33.80,,,FOZ,,,,,,,4.07,,,,,
24,0007852201090,,,1,,,JASON,,,,BODY WASH-MEN'S OCN SPRT-ALL IN ONE,,,,30.00,,,FOZ,,,,,,,3.90,,,,,
25,0007852200201,,,1,,,JASON,,,,BODY WASH-MEN'S-MOUNTAIN SPICE,,,,30.00,,,FOZ,,,,,,,3.90,,,,,
26,0007852200195,,,1,,,JASON,,,,BODY WASH-MENS-ALL IN ONE,,,,30.00,,,FOZ,,,,,,,3.90,,,,,
27,0080500200088,,,1,,,HERBAN COWBOY,,,,BODY WASH-FOREST,,,,18.00,,,FOZ,,,,,,,3.40,,,,,
28,0080500200087,,,1,,,HERBAN COWBOY,,,,BODY WASH-DUSK,,,,18.00,,,FOZ,,,,,,,3.40,,,,,
29,0080500200089,,,1,,,HERBAN COWBOY,,,,BODY WASH-SPORT,,,,18.00,,,FOZ,,,,,,,3.40,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 8' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 7' 11.82""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667046595,,,1,,SPROUTS,,,,,,BODY WASH-INVIGORATING,,,10.00,,,FOZ,,,,,,3.07,,,,,,
2,0064667046594,,,1,,SPROUTS,,,,,,BODY WASH-RELAXING,,,10.00,,,FOZ,,,,,,3.07,,,,,,
3,0064667046593,,,1,,SPROUTS,,,,,,BODY WASH-UPLIFTING,,,10.00,,,FOZ,,,,,,3.07,,,,,,
4,0085693200727,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-JOYFUL-CANNACELL,,,8.00,,,FOZ,,,,,,3.00,,,,,,
5,0085693200725,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-HARMONY-CANNACELL,,,8.00,,,FOZ,,,,,,3.00,,,,,,
6,0085693200726,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-RITUAL-CANNACELL,,,8.00,,,FOZ,,,,,,3.00,,,,,,
7,0085997502025,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-1000 ROSES,,,8.50,,,FOZ,,,,,,3.30,,,,,,
8,0085997502022,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-MANDARIN VANILLA,,,8.50,,,FOZ,,,,,,3.30,,,,,,
9,0085997502021,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-CITRUS VERBENA,,,8.50,,,FOZ,,,,,,3.30,,,,,,
10,0085997502020,,,1,,ANDALOU NATURALS,,,,,,SHOWER GEL-LAVENDER THYME,,,8.50,,,FOZ,,,,,,3.30,,,,,,
11,0084132010415,,,1,,ALAFFIA,,,,,,SHOWER BUTTER-COCONUT REISHI,,,8.00,,,FOZ,,,,,,3.00,,,,,,
12,0084132010416,,,1,,ALAFFIA,,,,,,SHOWER GEL-COCONUT REISHI,,,8.00,,,FOZ,,,,,,3.00,,,,,,
13,0084132010461,,,1,,ALAFFIA,,,,,,SHOWER GEL-NEEM MINT,,,8.00,,,FOZ,,,,,,3.00,,,,,,
14,0084132010718,,,1,,EVERYDAY COCONUT,,,,,,BODY WASH-PURELY COCONUT,,,8.00,,,FOZ,,,,,,3.00,,,,,,
15,0084132010719,,,1,,EVERYDAY COCONUT,,,,,,BODY WASH-COCONUT PINEAPPLE,,,8.00,,,FOZ,,,,,,3.00,,,,,,
16,0071833433736,,,1,,DESERT ESSENCE,,,,,,BODY WASH-COCONUT,,,8.00,,,OZ,,,,,,2.90,,,,,,
