Positio,,,UPC,,,,Facings,,,Brand,,,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,Date,,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0007628001244,,,,1,,,SOLARAY,,,,,,,,ECHINACEA GOLDENSEAL,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
22,,0007628001314,,,,1,,,SOLARAY,,,,,,,,ELEUTHERO,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
23,,0007628001255,,,,1,,,SOLARAY,,,,,,,,EYEBRIGHT-400 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007628001910,,,,1,,,SOLARAY,,,,,,,,ORGANIC ALFALFA,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
2,,0007628019110,,,,1,,,SOLARAY,,,,,,,,ORGANIC BURDOCK,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
3,,0007628019210,,,,1,,,SOLARAY,,,,,,,,ORGANIC DANELION,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
4,,0007628019270,,,,1,,,SOLARAY,,,,,,,,FENUGREEK SEED-ORGANIC,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
5,,0007628019300,,,,1,,,SOLARAY,,,,,,,,ORGANIC GINGER ROOT,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
6,,0007628038687,,,,1,,,SOLARAY,,,,,,,,ORGANICALLY GROWN FERMENTED GINGER,,,,,,100.00,,,,VCP,,,,,,,,,,,2.00,,,,,
7,,0007628027685,,,,1,,,SOLARAY,,,,,,,,ORGANIC MACA,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
8,,0007628038170,,,,1,,,SOLARAY,,,,,,,,SAGE,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
9,,0007628019550,,,,1,,,SOLARAY,,,,,,,,ORGANIC SAW PALMETTO,,,,,,100.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
10,,0007628003075,,,,1,,,SOLARAY,,,,,,,,BAMBOO,,,,,,60.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
11,,0007628020677,,,,1,,,SOLARAY,,,,,,,,BERBERINE,,,,,,60.00,,,,VCP,,,,,Apr 17 2016 1,,,,,,2.00,,,,,
12,,0007628003173,,,,1,,,SOLARAY,,,,,,,,GP BLACK COHOSH-ONE DAILY-180 MG,,,,,,30.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
13,,0007628011664,,,,1,,,SOLARAY,,,,,,,,GP BUTTERBUR EXTRACT 50 MG,,,,,,60.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.95,,,,,
14,,0007628003600,,,,1,,,SOLARAY,,,,,,,,GP GINKGO BILOBA,,,,,,60.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
