16,0060949271045,,,,1,,,MRM,,,,,BCAA+G RELOAD-ISLAND FUSION,,,,,,11.60,,OZ,,,,May 15 2016 1,,,,,3.70,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 4' 0.00"",    Height: 1' 2.00"",   Depth: 1' 1.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085035900400,,,,1,,,RED ACE,,,,,BEET PERFORMANCE SUPPLEMENT-ORGANIC,,,,,,2.00,,FOZ,,,,Jul  3 2016 1,,,,,1.50,,,,,,
2,0079238231146,,,,1,,,HUMAN N,,,,,BEET ELITE-BLACK CHERRY-PACKET,,,,,,0.35,,OZ,,,,May 15 2016 1,,,,,2.45,,,,,,
3,0081318802021,,,,1,,,HUMAN N,,,,,BEET ELITE-BLACK CHERRY-BOX,,,,,,3.50,,OZ,,,,May 15 2016 1,,,,,2.70,,,,,,
4,0081318802000,,,,1,,,HUMAN N,,,,,BEET ELITE-BLACK CHERRY-CANISTER,,,,,,7.10,,OZ,,,,May 15 2016 1,,,,,3.65,,,,,,
5,0001579486434,,,,1,,,COUNTRY LIFE,,,,,BEET & B ENERGIZER POWDER-PKT,,,,,,0.11,,OZ,,,,,,,,,2.25,,,,,,
6,0001579406434,,,,1,,,COUNTRY LIFE,,,,,BEET & B ENERGIZER POWDER-CASE,,,,,,3.50,,OZ,,,,,,,,,2.37,,,,,,
7,0001579406435,,,,2,,,COUNTRY LIFE,,,,,BEET & B ENERGIZER POWDER,,,,,,3.50,,OZ,,,,,,,,,2.86,,,,,,
8,0076493487120,,,,1,,,PURE PLANET,,,,,ORG POWER BEETS PREWORKOUT,,,,,,160.00,,GM,,,,,,,,,2.90,,,,,,
9,0089731400214,,,,1,,,OXYLENT,,,,,SPORT OXYLENT-BLUEBERRY BURST PKT,,,,,,0.26,,OZ,,,,,,,,,1.05,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,UOM,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0089731400264,1,OXYLENT,SPORT OXYLENT-BLUEBERRY BURST BOX,3.90,OZ
11,0089731400294,1,OXYLENT,SPORT OXYLENT-BLUEBERRY BURST PWDER,7.80,OZ
12,0085673700352,1,MUSCLEPHARM,PRE WORKOUT-WATERMELON-PKT,0.41,OZ
13,0085673700351,1,MUSCLEPHARM,PRE WORKOUT-WATERMELON-12 PK,4.91,OZ
14,0085673700350,1,MUSCLEPHARM,PRE WORKOUT-WATERMELON,348.00,GM
15,0081944401442,2,ONNIT,TOTAL STRENGTH PERFORMANCE-STRWBRY,11.00,OZ
Totals:,,
"Shelf: 10,   Length: 0' 1.00"",    Height: 1' 11.00"",   Depth: 0' 1.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0009471764608,,,,1,,,KT TAPE,,,,,SPORTS TAPE-BLACK,,,,,,14.00,,CNT,,,,May 15 2016 1,,,,,3.10,,,,,,
2,0009471764608,,,,1,,,KT TAPE,,,,,SPORTS TAPE-BLACK,,,,,,14.00,,CNT,,,,May 15 2016 1,,,,,3.10,,,,,,
3,0009471764611,,,,1,,,KT TAPE,,,,,SPORTS TAPE-BEIGE,,,,,,14.00,,CNT,,,,May 15 2016 1,,,,,3.10,,,,,,
4,0009471764611,,,,1,,,KT TAPE,,,,,SPORTS TAPE-BEIGE,,,,,,14.00,,CNT,,,,May 15 2016 1,,,,,3.10,,,,,,
5,0009471764611,,,,1,,,KT TAPE,,,,,SPORTS TAPE-BEIGE,,,,,,14.00,,CNT,,,,May 15 2016 1,,,,,3.10,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
