"Project Type: Reset 04/02/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,"9/13/2018
HBA Department
26445 Sun Care-Aloe-Bug-04' H-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
7,0085257000655,,,2,,ALL GOOD PRODUCTS,,,,SUNSCREEN-KIDS-SPRAY-SPF 30,,,,6.00,,,FOZ,,,,,,,2.10,,,,
8,0085257000653,,,1,,ALL GOOD PRODUCTS,,,,SUNSCREEN-KIDS-BUTTER STICK-SPF 50+,,,,2.75,,,OZ,,,,,,,1.75,,,,
9,0085257000651,,,1,,ALL GOOD PRODUCTS,,,,SUNSCREEN-SPORT-WATER RESIST-SPF 30,,,,3.00,,,FOZ,,,,,,,2.35,,,,
10,0085257000654,,,2,,ALL GOOD PRODUCTS,,,,SUNSCREEN-SPORT-SPRAY-SPF 30,,,,6.00,,,FOZ,,,,,,,2.10,,,,
11,0085257000650,,,1,,ALL GOOD PRODUCTS,,,,SUNSCREEN-SPORT-BUTTER STICK-SPF 50+,,,,2.75,,,OZ,,,,,,,1.75,,,,
12,0003098500420,,,2,,DERMA-E,,,,SUNSCREEN OIL-FREE FACE LOTION SPF30,,,,2.00,,,OZ,,,,May  1 2016 1,,,1.70,,,,
13,0003098500421,,,1,,DERMA-E,,,,SUNSCREEN BODY LOTION SPF 30,,,,4.00,,,OZ,,,,May  1 2016 1,,,1.80,,,,
14,0003098500423,,,1,,DERMA-E,,,,SUNSCREEN-MINERAL-BABY-30 SPF,,,,4.00,,,OZ,,,,,,,1.80,,,,
15,0068294112370,,,1,,DEVITA,,,,MOISTURIZER-SOLAR BODY,,,,7.00,,,OZ,,,,May  1 2016 1,,,2.30,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002836784344,,,2,,KISS MY FACE,,,,SUNSCREEN-LOTION-BABYS-SPF 50,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
