4,0060949272043,,,,1,,,MRM,,,,,,,VEGGIE MEAL-CHOCOLATE MOCHA,,,,,3.00,,,,,LB,,,Feb 21 2016 1,,,,6.00,,,,,
5,0085831000406,,,,1,,,GROUND BASED NUTRITION,,,,,,,SUPERFOOD PROTEIN NATURAL,,,,,13.20,,,,,OZ,,,,,,,7.26,,,,,
6,0085831000400,,,,1,,,GROUND BASED NUTRITION,,,,,,,SUPERFOOD PROTEIN VANILLA,,,,,1.00,,,,,LB,,,Feb 21 2016 1,,,,7.26,,,,,
7,0085831000401,,,,1,,,GROUND BASED NUTRITION,,,,,,,SUPERFOOD PROTEIN CHOCOLATE,,,,,1.10,,,,,LB,,,Feb 21 2016 1,,,,7.26,,,,,
8,0085177000603,,,,1,,,ORGAIN,,,,,,,PROTEIN-ORG-PLANT BASED-UNSWT,,,,,720.00,,,,,GM,,,,,,,5.58,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.99""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0069765869003,,,,1,,,MANITOBA HARVEST,,,,,,,PROTEIN-HEMP-POWDER-PRO 70,,,,,16.00,,,,,OZ,,,Feb 21 2016 1,,,,4.11,,,,,
2,0069765869158,,,,1,,,MANITOBA HARVEST,,,,,,,PROTEIN-ORG-PLANT-HEMP-UNSWTND,,,,,16.00,,,,,OZ,,,,,,,4.80,,,,,
3,0069765869157,,,,1,,,MANITOBA HARVEST,,,,,,,PROTEIN-ORG-PLANT-HEMP-VANILLA,,,,,16.00,,,,,OZ,,,,,,,4.80,,,,,
4,0079001121027,,,,1,,,JARROW FORMULAS,,,,,,,BROWN RICE PROTEIN-VANILLA,,,,,17.80,,,,,OZ,,,Feb 21 2016 1,,,,4.75,,,,,
5,0081521101018,,,,1,,,GROWING NATURALS,,,,,,,RICE PROTEIN-ORG,,,,,16.20,,,,,OZ,,,Feb 21 2016 1,,,,5.00,,,,,
6,0081521101019,,,,1,,,GROWING NATURALS,,,,,,,ORG BROWN RICE PROTEIN-VANILLA,,,,,16.40,,,,,OZ,,,Feb 21 2016 1,,,,5.00,,,,,
7,0081521101001,,,,1,,,GROWING NATURALS,,,,,,,BROWN RICE PROTEIN-VANILLA BLAST-ORG,,,,,32.80,,,,,OZ,,,Feb 21 2016 1,,,,5.25,,,,,
8,0018286300139,,,,1,,,NUTRASUMMA,,,,,,,PLANT PROTEIN-VANILLA-MUSHROOM,,,,,19.00,,,,,OZ,,,,,,,7.75,,,,,
9,0018286300127,,,,1,,,NUTRASUMMA,,,,,,,PROTEIN-PLANT BASED-SPORT-VANILLA,,,,,20.11,,,,,OZ,,,,,,,7.70,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 9,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 4.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0079001121816,,,,1,,,JARROW FORMULAS,,,,,,,OPTIMAL PLANT PROTEINS,,,,,19.00,,,,,OZ,,,Feb 21 2016 1,,,,4.60,,,,,
2,0062477700914,,,,1,,,GENUINE HEALTH,,,,,,,PROTEIN-FERMENTED-VEGAN-VANILLA,,,,,21.16,,,,,OZ,,,,,,,4.72,,,,,
3,0062477700915,,,,1,,,GENUINE HEALTH,,,,,,,PROTEIN-FERMENTED-VEGAN-CHOCO,,,,,21.70,,,,,OZ,,,,,,,4.72,,,,,
4,0081478402420,,,,1,,,SUNWARRIOR,,,,,,,PROTEIN-ORG-PLUS-VANILLA,,,,,13.20,,,,,OZ,,,Apr 10 2016 1,,,,4.73,,,,,
5,0081478402416,,,,1,,,SUNWARRIOR,,,,,,,PROTEIN-ORG-PLUS-CHOCOLATE,,,,,13.20,,,,,OZ,,,Apr 10 2016 1,,,,4.73,,,,,
6,0081478402428,,,,1,,,SUNWARRIOR,,,,,,,PROTEIN-ORG-NATURAL-WARRIOR BLEND,,,,,13.20,,,,,OZ,,,Feb 21 2016 1,,,,4.75,,,,,
7,0081478402430,,,,1,,,SUNWARRIOR,,,,,,,PROTEIN-ORG-VANILLA-WARRIOR BLEND,,,,,13.20,,,,,OZ,,,Feb 21 2016 1,,,,4.75,,,,,
8,0081478402431,,,,1,,,SUNWARRIOR,,,,,,,PROTEIN-ORG-VANILLA-WARRIOR BLEND,,,,,1.65,,,,,LB,,,Feb 21 2016 1,,,,4.75,,,,,
9,0081478402424,,,,1,,,SUNWARRIOR,,,,,,,PROTEIN-ORG-CHOCOLATE-WARRIOR BLEND,,,,,13.20,,,,,OZ,,,Feb 21 2016 1,,,,4.75,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,Size,,,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10
Totals:",,,0081478402425,,,,"1
--------------- 10",,,,SUNWARRIOR,,,,,PROTEIN-ORG-CHOCOLATE-WARRIOR BLEND,,,,,,,1.65             LB,,,,,,,Feb 21 2016 1,,,,,4.75,,
"Shelf: 10,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 4.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801011863,,,,1,,,GARDEN OF LIFE,,,,,,,PLANT PROTEIN-NATURAL-ORGANIC,,,,,8.00,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
2,0065801011802,,,,1,,,GARDEN OF LIFE,,,,,,,PLANT PROTEIN-ORG-SMOOTH VANILLA,,,,,9.00,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
3,0065801011803,,,,1,,,GARDEN OF LIFE,,,,,,,PLANT PROTEIN-ORG-SMOOTH CHOCOLATE,,,,,10.00,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
