",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 8.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0007663590635,,,,1,,,SUPERIOR SOURCE,,,,,,DHEA 50 MG,,,,,100.00,,,TAB,,,,Jun 12 2016 1,,,,1.60,,,,,
12,0060949251006,,,,1,,,MRM,,,,,,PREGNENOLONE 50 MG,,,,,60.00,,,VCP,,,,Jun 12 2016 1,,,,1.87,,,,,
13,0073373903201,,,,1,,,NOW,,,,,,IGF 1 PLUS SPRAY,,,,,1.00,,,FOZ,,,,Jun 12 2016 1,,,,1.23,,,,,
14,0009746748718,,,,1,,,NATURE'S PLUS,,,,,,GH MALE HUMAN GROWTH HORMONE,,,,,60.00,,,CAP,,,,Jun 12 2016 1,,,,2.28,,,,,
15,0018286300110,,,,1,,,NUTRASUMMA,,,,,,ARGININE PLUS,,,,,10.51,,,OZ,,,,Jun 12 2016 1,,,,3.72,,,,,
16,0004746905234,,,,1,,,NATROL,,,,,,L-ARGININE 3000 MG,,,,,90.00,,,TAB,,,,Jun 12 2016 1,,,,2.43,,,,,
17,0002188810693,,,,1,,,RAINBOW LIGHT,,,,,,PERFORMANCE ENERGY FOR MEN,,,,,90.00,,,TAB,,,,Jun 12 2016 1,,,,2.37,,,,,
18,0001579405047,,,,1,,,COUNTRY LIFE,,,,,,MAXI HAIR FOR MEN,,,,,60.00,,,SG,,,,Jun 12 2016 1,,,,2.43,,,,,
19,0009492201569,,,,1,,,RESERVEAGE,,,,,,KERATIN BOOSTER FOR MEN,,,,,60.00,,,VCP,,,,Jun 12 2016 1,,,,2.49,,,,,
20,0542501039171,,,,1,,,NATURAL FACTORS,,,,,,ON YOUR GAME JOINT RELIEF FOR MEN,,,,,30.00,,,VCP,,,,Jun 12 2016 1,,,,2.55,,,,,
21,0085324400351,,,,1,,,YOUTHEORY,,,,,,MENS COLLAGEN ADVANCED FORMULA,,,,,290.00,,,TAB,,,,Jun 12 2016 1,,,,3.05,,,,,
22,0085980500617,,,,1,,,ZHOU,,,,,,IRON BEARD,,,,,60.00,,,VCP,,,,,,,,2.32,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
