Positio,,,UPC,,,,Facings,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,,
40,,0063687422035,,,,1,,EVERYONE,,,,,FACE FOR EVERY DAY-MOISTURIZE,,,,,8.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.90,,,,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 8' 0.00"",    Height: 0' 6.50"",   Depth: 1' 8.00"",   Product: 7' 11.79""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0081342402021,,,,1,,ACURE,,,,,FACIAL SCRUB-RADICAL REJUVENATING,,,,,4.00,,,FOZ,,,,,Jul 17 2016 1,,,,1.90,,,,,,,
2,,0085404900217,,,,1,,ACURE,,,,,CLEANSING CREAM-RADICAL REJUVENATING,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,1.90,,,,,,,
3,,0085404900207,,,,1,,ACURE,,,,,FACIAL TONER-RADICALLY REJUVENATING,,,,,3.00,,,FOZ,,,,,Jun  5 2016 1,,,,2.45,,,,,,,
4,,0081342402022,,,,1,,ACURE,,,,,FACE MASK-RADICALLY REJUVENATING,,,,,1.70,,,FOZ,,,,,Jul 17 2016 1,,,,1.70,,,,,,,
5,,0081342402000,,,,1,,ACURE,,,,,ROSE ARGAN OIL RAD REJUVENATING,,,,,1.00,,,FOZ,,,,,Jul 17 2016 1,,,,1.50,,,,,,,
6,,0085404900215,,,,1,,ACURE,,,,,EYE CREAM-RADICALLY REJUVENATING,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,1.60,,,,,,,
7,,0081342402028,,,,1,,ACURE,,,,,TOWELETTES-INCREDIBLY CLEAR ACNE,,,,,30.00,,,CNT,,,,,Jul 17 2016 1,,,,3.90,,,,,,,
8,,0081342402126,,,,1,,ACURE,,,,,INCREDIBLY CLEAR CLEANSING STICK,,,,,2.00,,,OZ,,,,,,,,,1.95,,,,,,,
9,,0081342402023,,,,1,,ACURE,,,,,ACNE SPOT INCREDIBLY CLEAR,,,,,0.50,,,FOZ,,,,,Jul 17 2016 1,,,,1.05,,,,,,,
10,,0085404900211,,,,1,,ACURE,,,,,MOISTURIZER-INCRED CLEAR MATTIFYING,,,,,1.70,,,OZ,,,,,Jun  5 2016 1,,,,1.70,,,,,,,
11,,0008799211245,,,,1,,REVIVA,,,,,FACIAL CLEANSER-GLYCOLIC ACID,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,1.60,,,,,,,
12,,0008799211241,,,,1,,REVIVA,,,,,TONER-GLYCOIC ACID,,,,,4.00,,,OZ,,,,,Jun  5 2016 1,,,,1.60,,,,,,,
13,,0008799211234,,,,1,,REVIVA,,,,,GLYCOLIC ACID CREAM,,,,,1.50,,,FOZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
14,,0008799211287,,,,1,,REVIVA,,,,,GLYCOLIC ACID NGHT/DAY CRM,,,,,1.50,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
15,,0008799211386,,,,1,,REVIVA,,,,,DAY CREAM-ANTIOX SKIN SMOOTH ADV,,,,,2.00,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
16,,0008799212086,,,,1,,REVIVA,,,,,ADVANCED PEPTIDE PLUS,,,,,1.00,,,FOZ,,,,,,,,,1.35,,,,,,,
17,,0008799212085,,,,1,,REVIVA,,,,,PEPTIDE FACIAL SKIN PREP,,,,,1.00,,,FOZ,,,,,,,,,1.30,,,,,,,
18,,0008799212087,,,,1,,REVIVA,,,,,DUAL SOURCE VITAMIN C SERUM,,,,,1.00,,,FOZ,,,,,,,,,1.30,,,,,,,
19,,0008799211995,,,,1,,REVIVA,,,,,STEM CELL BOOSTER SERUM,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
20,,0008799211382,,,,1,,REVIVA,,,,,EYE SERUM-FIRMING-DMAE ALPHA,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
21,,0008799211385,,,,1,,REVIVA,,,,,FIRMING FLUID-DMAE,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
22,,0008799211377,,,,1,,REVIVA,,,,,NIGHT CREAM -ALPHA LIPOIC,,,,,2.00,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
23,,0008799211127,,,,1,,REVIVA,,,,,ELASTIN & DMAE NIGHT CREAM,,,,,1.50,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
24,,0008799211126,,,,1,,REVIVA,,,,,NIGHT CREAM-COLLAGEN,,,,,1.50,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
25,,0008799211981,,,,1,,REVIVA,,,,,COLLAGEN SERUM,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
26,,0008799211392,,,,1,,REVIVA,,,,,HYALURONIC ACID SERUM,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
27,,0008799211963,,,,1,,REVIVA,,,,,MAKEUP PRIMER,,,,,1.00,,,FOZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
28,,0008799211115,,,,1,,REVIVA,,,,,SKIN PEEL-LIGHT,,,,,1.50,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
29,,0008799211104,,,,1,,REVIVA,,,,,MOISTURIZER UV DEFENSE SUN PROTECT,,,,,1.50,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
Positio,,,,,UPC,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,Width,,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0008799211586,,,,1,,REVIVA,,,,,BROWN SPOT NIGHT CREAM W/ KOJIC ACID,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
31,,0008799211587,,,,1,,REVIVA,,,,,FADE CRM DAY SKIN BRIGHT W/KOJIC,,,,,1.50,,,OZ,,,,,Jun  5 2016 1,,,,2.40,,,,,,,
32,,0008799211596,,,,1,,REVIVA,,,,,EYE SERUM-UNDER EYE-DARK CIRCLE,,,,,1.00,,,OZ,,,,,Jun  5 2016 1,,,,1.41,,,,,,,
33,,0008799211204,,,,1,,REVIVA,,,,,EYE CREME-COMPLEX FIRM,,,,,0.75,,,OZ,,,,,Jun  5 2016 1,,,,1.35,,,,,,,
34,,0063408427003,,,,1,,BADGER BALM,,,,,ORG DAMASCUS ROSE CLEANSING FACE OIL,,,,,2.00,,,FOZ,,,,,5/5/2015,,,,1.65,,,,,,,
