"Project Type: Reset 01/22/2018 Buyer: Multiple
Analyst: Denny Robison x450
Location(s):
Notes:",,,,,,,,,,,,,,"9/12/2018
Multiple Department
25403 FEM-H Style Wide-B 36.5 IN-Released
T
",,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0
E C E C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 2.75"", Length 3' 0.50"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0070059
SPRY CHEWIN",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"007005960
SPRY",,,,,,,,,,,,,,,,,,,,,,,,
7,0005149490003,,,1,,MEGAFOOD,,,,,,,,POWDER-DAILY TURMERIC-NUTRNT BST-PKT,,,,1.97,,,GM,,,,Mar 13 2016 1,,,,2.09,,,,,
8,0005149490000,,,1,,MEGAFOOD,,,,,,,,POWDER-DAILY ENERGY-NUTRIENT-PACKET,,,,1.75,,,GM,,,,Mar 13 2016 1,,,,2.09,,,,,
9,0005149490002,,,1,,MEGAFOOD,,,,,,,,POWDER-DAILY C PROTECT-PACKET,,,,2.10,,,GM,,,,Jul  3 2016 1,,,,2.08,,,,,
10,0085023200524,,,1,,VITAL PROTEINS,,,,,,,,COLLAGEN PEPTIDES-UNFLAVORED-0.35OZ,,,,0.35,,,OZ,,,,,,,,3.95,,,,,
11,0085023200539,,,1,,VITAL PROTEINS,,,,,,,,COLLAGEN PEPTIDES-STICK PACK-BOX,,,,20.00,,,EA,,,,,,,,3.95,,,,,
12,0065801012060,,,1,,GARDEN OF LIFE,,,,,,,,SPORT PROTEIN PACKET-ORG-VANILLA,,,,1.50,,,OZ,,,,,,,,0.50,,,,,
13,0065801011944,,,1,,GARDEN OF LIFE,,,,,,,,PROTEIN-ORG-SPORT-VANILLA-CS,,,,18.00,,,OZ,,,,,,,,4.50,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 3' 0.50"",    Height: 0' 5.50"",   Depth: 1' 6.00"",   Product: 3' 0.37""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060949231004,,,1,,MRM,,,,,,,,DIGEST-ALL,,,,30.00,,,VCP,,,,,,,,1.88,,,,,
2,0081166002045,,,1,,NUUN,,,,,,,,DRINK TABS-STRAWBERRY LEMONADE,,,,10.00,,,CNT,,,,May 15 2016 1,,,,2.78,,,,,
3,0082983500547,,,1,,AMAZING GRASS,,,,,,,,GREEN SUPERFD-EFFERVESCNT-BERRY,,,,10.00,,,TAB,,,,,,,,3.20,,,,,
4,0065801012069,,,1,,GARDEN OF LIFE,,,,,,,,COCONUT OIL-RAW-EXTRA VIRGIN-ORG,,,,7.10,,,FOZ,,,,,,,,2.50,,,,,
5,0003927870111,,,6,,PRINCE OF PEACE,,,,,,,,RED PANAX GINSENG EXTRACT SINGLE BTL,,,,0.34,,,FOZ,,,,Mar 13 2016 1,,,,0.73,,,,,
6,0087553400167,,,1,,NATURAL VITALITY,,,,,,,,NATURAL CALM-5 PK RASPBERRY-LEMON,,,,5.00,,,CNT,,,,Mar 13 2016 1,,,,4.08,,,,,
7,0074127301457,,,1,,NELSON BACH,,,,,,,,RESCUE PASTILLES-BLACK CURRANT,,,,1.70,,,OZ,,,,,,,,3.60,,,,,
8,0030696999851,,,1,,BOIRON,,,,,,,,OSCILLOCOCCINUM,,,,6.00,,,DOS,,,,Feb 21 2016 1,,,,4.80,,,,,
9,0030696260760,,,1,,BOIRON,,,,,,,,COLDCALM,,,,60.00,,,TAB,,,,Feb 21 2016 1,,,,3.03,,,,,
10,0030696903228,,,1,,BOIRON,,,,,,,,CHESTAL HONEY-ADULT,,,,6.70,,,FOZ,,,,Jun 12 2016 1,,,,2.38,,,,,
11,0081944401435,,,1,,ONNIT,,,,,,,,ALPHA BRAIN INSTANT PEACH SPICE-PCKT,,,,0.13,,,OZ,,,,,,,,0.50,,,,,
12,0081944401436,,,1,,ONNIT,,,,,,,,ALPHA BRAIN INSTANT PEACH SPICE,,,,3.90,,,OZ,,,,,,,,3.24,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 3' 0.50"",    Height: 0' 3.50"",   Depth: 1' 6.00"",   Product: 3' 0.44""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0070059600063,,,1,,SPRY,,,,,,,,CHEWING GUM-FRESH FRUIT,,,,10.00,,,CNT,,,,Mar 13 2016 1,,,,3.88,,,,,
2,0070059600013,,,1,,SPRY,,,,,,,,CHEWING GUM-FRESH FRUIT,,,,100.00,,,CNT,,,,Mar 13 2016 1,,,,2.75,,,,,
3,0070059600061,,,1,,SPRY,,,,,,,,CHEWING GUM-SPEARMINT,,,,10.00,,,CNT,,,,Feb 21 2016 1,,,,3.88,,,,,
4,0070059600012,,,1,,SPRY,,,,,,,,CHEWING GUM-SPEARMINT,,,,100.00,,,CNT,,,,Mar 13 2016 1,,,,2.88,,,,,
5,0070059600062,,,1,,SPRY,,,,,,,,CHEWING GUM-PEPPERMINT,,,,10.00,,,CNT,,,,Feb 21 2016 1,,,,3.88,,,,,
6,0070059600011,,,1,,SPRY,,,,,,,,CHEWING GUM-PEPPERMINT,,,,100.00,,,CNT,,,,Mar 13 2016 1,,,,2.88,,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0070059600064,,,1,,SPRY,,,,,,,,CHEWING GUM-CINNAMON,,,,10.00,,,CNT,,,,Feb 21 2016 1,,,,3.88,,,,,
8,0070059600014,,,1,,SPRY,,,,,,,,CHEWING GUM-CINNAMON,,,,100.00,,,CNT,,,,Mar 13 2016 1,,,,2.88,,,,,
9,0070059600350,,,1,,SPRY,,,,,,,,CHEWING GUM-BUBBLE GUM,,,,12.00,,,CNT,,,,,,,,3.40,,,,,
10,0070059600361,,,1,,SPRY,,,,,,,,CHEWING GUM-BUBBLE GUM TUB,,,,55.00,,,CNT,,,,,,,,2.62,,,,,
11,0007663050250,,,1,,AMERICAN HEALTH,,,,,,,,SUPER PAPAYA ENZYME ROLL PACK,,,,12.00,,,TAB,,,,Mar 13 2016 1,,,,2.63,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 3' 0.50"",    Height: 1' 2.75"",   Depth: 1' 8.00"",   Product: 3' 0.41""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0005138199203,,,1,,AURA CACIA,,,,,,,,ESSENTIAL OIL-LAVENDER-BOX,,,,0.50,,,FOZ,,,,,,,,1.78,,,,,
2,0007732683260,,,1,,TOMS OF MAINE,,,,,,,,TOOTHPASTE-FLUORIDE-FREE-FRESH MINT,,,,3.00,,,OZ,,,,,,,,5.21,,,,,
3,0089348100141,,,1,,CLEAN WELL,,,,,,,,HAND SANITIZER-WIPES,,,,10.00,,,PK,,,,,,,,3.10,,,,,
4,0085243400101,,,1,,MACRO LIFE NATURALS,,,,,,,,MACRO GREENS SINGLE,,,,0.33,,,OZ,,,,Jul  3 2016 1,,,,3.00,,,,,
5,0079285011099,,,1,,BURTS BEES,,,,,,,,LIP BALM-BEESWAX,,,,0.15,,,OZ,,,,,,,,4.00,,,,,
6,0064667046526,,,1,,SPROUTS,,,,,,,,LIP BALM-MINTY MADNESS,,,,0.15,,,OZ,,,,Mar 13 2016 1,,,,2.88,,,,,
7,0064667046525,,,1,,SPROUTS,,,,,,,,LIP BALM-CRAZY COCONUT,,,,0.15,,,OZ,,,,Mar 13 2016 1,,,,2.88,,,,,
8,0064667046521,,,1,,SPROUTS,,,,,,,,LIP BALM-ORG-VANILLA BEAN,,,,0.25,,,OZ,,,,,,,,3.36,,,,,
9,0001579405392,,,1,,COUNTRY LIFE,,,,,,,,ACID RESCUE-BERRY-CHEW TAB,,,,60.00,,,CHW,,,,,,,,2.31,,,,,
10,0003398466384,,,1,,SOLGAR,,,,,,,,ENERGY KICKS-NATURAL MIXED BERRY,,,,2.00,,,FOZ,,,,,,,,3.17,,,,,
11,0085342700648,,,1,,RESERVEAGE,,,,,,,,BEAUTY SHOT,,,,3.00,,,FOZ,,,,,,,,1.85,,,,,
12,0007631430646,,,1,,EMERGEN C,,,,,,,,EMERGEN C SUPER ORANGE-PACKET,,,,0.30,,,OZ,,,,Mar 13 2016 1,,,,2.63,,,,,
13,0007631430203,,,1,,EMERGEN C,,,,,,,,EMERGEN C SUPER ORANGE,,,,30.00,,,PK,,,,Mar 13 2016 1,,,,2.63,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
