3,0001579402480,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CALCIUM MAGNESIUM COM,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.70,,,,,,
4,0001579402481,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CALCIUM MAGNESIUM COM,,,,,180.00,,,,TAB,,,,Feb 21 2016 1,,,,,3.21,,,,,,
5,0001579402487,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CALCIUM MAGNESIUM,,,,,120.00,,,,VCP,,,,Feb 21 2016 1,,,,,2.73,,,,,,
6,0001579402488,,,,2,,,COUNTRY LIFE,,,,,TARGET MINS CALCIUM MAGNESIUM,,,,,240.00,,,,VCP,,,,Feb 21 2016 1,,,,,3.21,,,,,,
7,0001579402485,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CAL MAG POTASSIUM,,,,,90.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.22,,,,,,
8,0001579402486,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CAL MAG POTASSIUM,,,,,180.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.97,,,,,,
9,0001579402491,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CAL MAG ZINC,,,,,180.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.97,,,,,,
10,0001579402604,,,,1,,,COUNTRY LIFE,,,,,CAL MAG ZINC,,,,,250.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.97,,,,,,
11,0003398400431,,,,1,,,SOLGAR,,,,,CALCIUM CITRATE VITAMIN D,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.60,,,,,,
12,0003398400519,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM WITH VITAMIN D3,,,,,300.00,,,,TAB,,,,Feb 21 2016 1,,,,,3.31,,,,,,
13,0003398400509,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM CITRATE,,,,,100.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.43,,,,,,
