Positio,,UPC,,,,Facings,,,Brand,,,,Long Description,,,,,,,Size,,,UOM,,,,Date,,,,Width,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 3.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801011550,,,,1,,,GARDEN OF LIFE,,,,RAW ONE FOR WOMEN,,,,,,,30.00,,,VCP,,,,Jun 12 2016 1,,,,4.15,,,,,
2,0065801011403,,,,1,,,GARDEN OF LIFE,,,,RAW ONE FOR WOMEN,,,,,,,75.00,,,VCP,,,,Jun 12 2016 1,,,,4.56,,,,,
3,0065801011366,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE-WOMEN,,,,,,,120.00,,,VCP,,,,Jun 12 2016 1,,,,2.82,,,,,
4,0065801011417,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE WOMENS MULTI,,,,,,,240.00,,,CAP,,,,Jun 12 2016 1,,,,3.30,,,,,
5,0065801011367,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE 50 WISER WOMENS MUL,,,,,,,120.00,,,VCP,,,,Jun 12 2016 1,,,,2.82,,,,,
6,0065801011418,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE 50 WISER WOMENS MULTI,,,,,,,240.00,,,CAP,,,,Jun 12 2016 1,,,,3.30,,,,,
7,0065801011449,,,,1,,,GARDEN OF LIFE,,,,RAW ONE FOR MEN,,,,,,,30.00,,,VCP,,,,Jun 12 2016 1,,,,4.15,,,,,
8,0065801011402,,,,1,,,GARDEN OF LIFE,,,,RAW ONE FOR MEN,,,,,,,75.00,,,VCP,,,,Jun 12 2016 1,,,,4.56,,,,,
9,0065801011368,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE MENS MULTI,,,,,,,120.00,,,VCP,,,,Jun 12 2016 1,,,,2.81,,,,,
10,0065801011419,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE MENS MULTI,,,,,,,240.00,,,CAP,,,,Jun 12 2016 1,,,,3.30,,,,,
11,0065801011369,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE 50 WISER MENS MULTI,,,,,,,120.00,,,VCP,,,,Jun 12 2016 1,,,,2.76,,,,,
12,0065801011420,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE 50 WISER MENS MULTI,,,,,,,240.00,,,CAP,,,,Jun 12 2016 1,,,,3.30,,,,,
13,0065801011370,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE FAMILY MULTI,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,2.77,,,,,
14,0065801011371,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE PERFECT WEIGHT MULT,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,2.80,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,Width,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
---------------
14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 3.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801011775,,,,2,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-WOMENS-ONCE DAILY,,,,,,,30.00,,,TAB,,,,Jun 12 2016 1,,,,2.35,,,,,
2,0065801011776,,,,2,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-WOMENS-ONCE DAILY,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.75,,,,,
3,0065801011773,,,,1,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-WOMENS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.75,,,,,
4,0065801011774,,,,1,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-WOMENS,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,3.25,,,,,
5,0065801011777,,,,2,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-WOMENS-40 PLUS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.75,,,,,
6,0065801011778,,,,1,,,GARDEN OF LIFE,,,,MULTI-ORG-WOMENS-40 PLUS,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,3.25,,,,,
7,0065801011766,,,,2,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-MENS-ONCE DAILY,,,,,,,30.00,,,TAB,,,,Jun 12 2016 1,,,,2.35,,,,,
8,0065801011767,,,,2,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-MENS-ONCE DAILY,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.75,,,,,
9,0065801011764,,,,1,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-MENS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.75,,,,,
10,0065801011765,,,,1,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-MENS,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,3.25,,,,,
11,0065801011768,,,,1,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-MENS-40 PLUS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.75,,,,,
12,0065801011769,,,,1,,,GARDEN OF LIFE,,,,KIND ORG-MULTI-MENS-40 PLUS,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,3.25,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 3.00"",   Product: 3' 11.87""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801012032,,,,1,,,GARDEN OF LIFE,,,,KIND-ORG-MULTI-WOMENS-BERRY,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
2,0065801012031,,,,1,,,GARDEN OF LIFE,,,,KIND-ORG-MULTI-WOMENS-40+-BERRY,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
3,0065801012029,,,,1,,,GARDEN OF LIFE,,,,KIND-ORG-MULTI-MENS-BERRY,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
4,0065801012028,,,,1,,,GARDEN OF LIFE,,,,KIND-ORG-MULTI-MENS-40+-BERRY,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
5,0001579409104,,,,1,,,COUNTRY LIFE,,,,WOMENS DAILY NUTRITION-ORG,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.59,,,,,
6,0001579409105,,,,1,,,COUNTRY LIFE,,,,WOMENS DAILY NUTRITION-ORGANIC,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,2.73,,,,,
7,0001579409102,,,,1,,,COUNTRY LIFE,,,,MENS DAILY NUTRITION-ORGANIC,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.59,,,,,
8,0001579409103,,,,1,,,COUNTRY LIFE,,,,MENS DAILY NUTRITION-ORGANIC,,,,,,,120.00,,,TAB,,,,Jun 12 2016 1,,,,2.73,,,,,
9,0001579408192,,,,1,,,COUNTRY LIFE,,,,CORE DAILY-1 FOR WOMAN,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.50,,,,,
