Notes:",,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 8",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,
Positio,,,UPC,,,Facings,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 11,   Length: 2' 6.50"",    Height: 0' 4.50"",   Depth: 1' 11.00"",   Product: 2' 6.39""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0081729100031,,,1,,MYCHELLE,,,,,CREAM-RENEW-PUMPKIN,,,,,,1.20,,,OZ,,,,Jun  5 2016 1,,,,,2.18,,,,
2,,0081729100030,,,1,,MYCHELLE,,,,,CREAM-DEEP REPAIR,,,,,,1.20,,,OZ,,,,Jun  5 2016 1,,,,,2.19,,,,
3,,0081729100037,,,1,,MYCHELLE,,,,,REMARKABLE RETINAL NIGHT CREAM,,,,,,1.20,,,OZ,,,,Jun  5 2016 1,,,,,2.17,,,,
4,,0081729100524,,,1,,MYCHELLE,,,,,GENTLE DAY CREAM,,,,,,1.20,,,FOZ,,,,Jun  5 2016 1,,,,,2.18,,,,
5,,0081729100036,,,1,,MYCHELLE,,,,,CREAM-SUPREME POLYPEPTIDE SCENTED,,,,,,1.20,,,FOZ,,,,Jun  5 2016 1,,,,,2.19,,,,
6,,0081729100028,,,1,,MYCHELLE,,,,,CREAM-SUPREME POLYPEPTIDE UNSCENTED,,,,,,1.20,,,OZ,,,,Jun  5 2016 1,,,,,2.18,,,,
7,,0081729100136,,,1,,MYCHELLE,,,,,CREAM-APPLE BRIGHTENING,,,,,,1.20,,,FOZ,,,,Jun  5 2016 1,,,,,2.18,,,,
8,,0081729100532,,,1,,MYCHELLE,,,,,PERFECT C PRO SPEED PEEL,,,,,,1.20,,,FOZ,,,,Jul 17 2016 1,,,,,2.16,,,,
9,,0067990900002,,,1,,CELLFOOD,,,,,OXYGEN GEL,,,,,,2.00,,,OZ,,,,1/2/2004,,,,,2.36,,,,
10,,0073373907595,,,2,,NOW,,,,,OIL-ROSE HIP SEED,,,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,,,1.28,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0005138199758,,,1,,AURA CACIA,,,,,ROSEHIP DEEP FACIAL OIL SERUM,,,,,,1.00,,,FOZ,,,,5/14/2013,,,,,1.26,,,,
12,,0005138199811,,,2,,AURA CACIA,,,,,ROSEHIP OIL-RESTORING,,,,,,1.00,,,FOZ,,,,11/11/2011,,,,,1.22,,,,
13,,0005138199810,,,2,,AURA CACIA,,,,,ARGAN OIL-REJUVENATING,,,,,,1.00,,,FOZ,,,,11/9/2011,,,,,1.22,,,,
14,,0005138199812,,,1,,AURA CACIA,,,,,TAMANU OIL-NOURISHING,,,,,,1.00,,,FOZ,,,,11/9/2011,,,,,1.22,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 12,   Length: 2' 6.50"",    Height: 0' 5.50"",   Depth: 1' 11.00"",   Product: 2' 6.50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0081729100525,,,1,,MYCHELLE,,,,,MOISTURIZING GEL-SERIOUS HYALURONIC,,,,,,1.00,,,FOZ,,,,Jun  5 2016 1,,,,,1.46,,,,
2,,0081729100026,,,1,,MYCHELLE,,,,,LOTION-OIL FREE-GRAPEFRUIT,,,,,,1.00,,,FOZ,,,,Jun  5 2016 1,,,,,1.44,,,,
3,,0081729100516,,,1,,MYCHELLE,,,,,LOTION-CLEAR SKIN BALANCING,,,,,,1.00,,,FOZ,,,,Jun  5 2016 1,,,,,1.45,,,,
4,,0081729100531,,,1,,MYCHELLE,,,,,PERFECT C RADIANCE LOTION,,,,,,1.00,,,FOZ,,,,Jul 10 2016 1,,,,,1.48,,,,
5,,0081729100035,,,1,,MYCHELLE,,,,,PERFECT C EYE CREAM,,,,,,0.50,,,OZ,,,,Jun  5 2016 1,,,,,1.35,,,,
