Positio,,UPC,,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085898200443,,,1,,GOOD DAY CHOCOLATE,,,,,,CHOCOLATE-SLEEP SUPPLEMENT-ADULTS,,,,,80.00,,,CNT,,,,,,,,3.00,,,,,,,
2,0085050200700,,,1,,YOUTHEORY,,,,,,SLEEP NIGHTTIME POWDER-PKT,,,,,0.20,,,OZ,,,,,,,,3.10,,,,,,,
3,0085050200702,,,1,,YOUTHEORY,,,,,,SLEEP NIGHTTIME POWDER PACKETS,,,,,4.20,,,OZ,,,,,,,,3.10,,,,,,,
4,0085324400396,,,1,,YOUTHEORY,,,,,,SLEEP,,,,,6.00,,,OZ,,,,,,,,3.05,,,,,,,
5,0072778390122,,,1,,NEW CHAPTER,,,,,,TUMERICFORCE NIGHTTIME,,,,,60.00,,,VCP,,,,,,,,2.20,,,,,,,
6,0085376000227,,,1,,LIFESEASONS,,,,,,REST-ZZZ,,,,,14.00,,,VCP,,,,,,,,1.70,,,,,,,
7,0085376000216,,,1,,LIFESEASONS,,,,,,REST-EZ SLEEP SUPPORT,,,,,60.00,,,VCP,,,,,,,,2.25,,,,,,,
8,0064667063133,,,1,,SPROUTS,,,,,,VALERIAN,,,,,1.00,,,FOZ,,,,,,,,1.35,,,,,,,
9,0064667015620,,,1,,SPROUTS,,,,,,VALERIAN POWDER CAP,,,,,90.00,,,VCP,,,,,,,,2.25,,,,,,,
10,0064667063142,,,2,,SPROUTS,,,,,,SLEEP,,,,,1.00,,,FOZ,,,,,,,,1.35,,,,,,,
11,0064667062112,,,1,,SPROUTS,,,,,,SLEEP POWDER CAP,,,,,90.00,,,VCP,,,,,,,,2.50,,,,,,,
12,0064667012580,,,1,,SPROUTS,,,,,,OPTIMAL SLEEP,,,,,60.00,,,VCP,,,,,,,,2.00,,,,,,,
13,0075106339612,,,1,,GAIA HERBS,,,,,,SOUND SLEEP LIQUID PHYTO CAPS,,,,,60.00,,,VCP,,,,,,,,2.25,,,,,,,
14,0075106314576,,,1,,GAIA HERBS,,,,,,SLEEP THRU,,,,,60.00,,,VCP,,,,,,,,2.25,,,,,,,
15,0076570411001,,,1,,HERBS ETC,,,,,,DEEP SLEEP,,,,,1.00,,,FOZ,,,,,,,,1.31,,,,,,,
16,0076570450306,,,1,,HERBS ETC,,,,,,DEEP SLEEP,,,,,60.00,,,SG,,,,,,,,2.00,,,,,,,
17,0076570450301,,,1,,HERBS ETC,,,,,,DEEP SLEEP,,,,,120.00,,,SG,,,,,,,,2.31,,,,,,,
18,0076570450300,,,1,,HERBS ETC,,,,,,DEEP SLEEP,,,,,10.00,,,SG,,,,,,,,2.85,,,,,,,
19,0071036358550,,,1,,IRWIN NATURALS,,,,,,POWER TO SLEEP PM-MELATONIN FREE,,,,,50.00,,,SG,,,,,,,,2.60,,,,,,,
