"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 4.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068224,,,,4,,,SPROUTS,,,,,,COCONUT OIL-ORGANIC,,,,15.00,,,,,FOZ,,,,,,,3.75,,,,,,,
2,0003367415673,,,,2,,,NATURE'S WAY,,,,,,COCONUT OIL-ORGANIC,,,,16.00,,,,,OZ,,,,,,,3.80,,,,,,,
3,0003367415659,,,,2,,,NATURE'S WAY,,,,,,COCONUT OIL-ORGANIC,,,,32.00,,,,,OZ,,,,,,,4.30,,,,,,,
4,0065801011141,,,,3,,,GARDEN OF LIFE,,,,,,COCONUT OIL-EXTRA VIRGIN-ORGANIC,,,,16.00,,,,,FOZ,,,,,,,3.20,,,,,,,
5,0065801011886,,,,2,,,GARDEN OF LIFE,,,,,,COCONUT OIL-RAW-EXTRA VIRGIN,,,,29.00,,,,,FOZ,,,,,,,3.85,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 4.00"",   Product: 3' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003367410081,,,,2,,,NATURE'S WAY,,,,,,LIQUID COCONUT OIL,,,,10.00,,,,,FOZ,,,,,,,,,2.20,,,,,
2,0003367410526,,,,2,,,NATURE'S WAY,,,,,,COCONUT OIL-LIQUID-PREMIUM,,,,20.00,,,,,FOZ,,,,,,,,,2.75,,,,,
3,0064667067338,,,,3,,,SPROUTS,,,,,,MCT OIL-ORG,,,,16.00,,,,,FOZ,,,,,,,,,2.73,,,,,
4,0003367410895,,,,2,,,NATURE'S WAY,,,,,,MCT OIL,,,,16.00,,,,,FOZ,,,,Jul 10 2016 1,,,,,2.50,,,,,
5,0081944401330,,,,2,,,ONNIT,,,,,,MCT OIL,,,,24.00,,,,,FOZ,,,,Jul 10 2016 1,,,,,2.95,,,,,
6,0081944401518,,,,1,,,ONNIT,,,,,,EMULSIFIED MCT OIL-CREAMY VANILLA,,,,16.00,,,,,FOZ,,,,,,,,,2.55,,,,,
7,0070587500047,,,,1,,,BARLEANS,,,,,,MCT-COCONUT SWIRL,,,,16.00,,,,,OZ,,,,Jul 10 2016 1,,,,,2.90,,,,,
8,0073373902209,,,,1,,,NOW,,,,,,MCT OIL-HAZELNUT VANILLA,,,,16.00,,,,,FOZ,,,,Nov 13 2016 1,,,,,2.90,,,,,
9,0001605550008,,,,2,,,BURIED TREASURE,,,,,,COCONUT OIL MCT,,,,16.00,,,,,FOZ,,,,,,,,,2.75,,,,,
10,0001004316400,,,,1,,,HEALTH FROM THE SUN,,,,,,COCONUT MCT POWDER,,,,14.00,,,,,OZ,,,,,,,,,3.65,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 9,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667069044,,,,2,,,SPROUTS,,,,,,COD LIVER OIL,,,,250.00,,,,,SG,,,,,,,2.45,,,,,,,
2,0008839501301,,,,2,,,CARLSON LABS,,,,,,LIVER OIL-SUPER COD-1000 MG,,,,100.00,,,,,SG,,,,,,,2.55,,,,,,,
3,0076899057785,,,,2,,,NORDIC NATURALS,,,,,,ARCTIC COD LIVER OIL,,,,90.00,,,,,SG,,,,,,,2.40,,,,,,,
4,0065801011136,,,,2,,,GARDEN OF LIFE,,,,,,OLDE WORLD COD LIVER OIL,,,,8.00,,,,,FOZ,,,,,,,2.40,,,,,,,
5,0076899058783,,,,2,,,NORDIC NATURALS,,,,,,ARCTIC-D COD LIVER OIL-LEMON,,,,8.00,,,,,FOZ,,,,,,,2.30,,,,,,,
6,0076899054785,,,,2,,,NORDIC NATURALS,,,,,,ARTIC COD LIVER OIL ORANGE,,,,8.00,,,,,FOZ,,,,,,,2.40,,,,,,,
