"Project Type: Reset 10/22/2018 Buyer: Kate Gibson x317 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,"10/12/2018
Vitamin Department
33411 Shadow Box-Protein Packets-L-Released
",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0083876600491,,,,1,,,VEGA,,,,ALL-IN-ONE SHAKE-ORG-FRNCH VNLA-CS,,,13.50,,,OZ,,,,,,,,4.65,,,,
9,,0083876600474,,,,1,,,VEGA,,,,ALL-IN-ONE SHAKE-ORG-CHOCO-PKT,,,1.50,,,OZ,,,,,,,,4.20,,,,
10,,0083876600493,,,,1,,,VEGA,,,,ALL-IN-ONE SHAKE-ORG-CHOCO-CS,,,14.70,,,OZ,,,,,,,,4.65,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 1' 9.00"",    Height: 0' 7.75"",   Depth: 1' 0.00"",   Product: 1' 8.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0089098500115,,,,1,,,PLANT FUSION,,,,COMPLETE PLANT PROTEIN-VANILLA,,,11.00,,,FOZ,,,,Feb 21 2016 1,,,,2.38,,,,
2,,0089098500116,,,,1,,,PLANT FUSION,,,,COMPLETE PLANT PROTEIN-CHOCOLATE,,,11.00,,,FOZ,,,,Feb 21 2016 1,,,,2.38,,,,
3,,0089098500170,,,,1,,,PLANT FUSION,,,,PLANTFUSION COMPLETE VANILLA PKTS,,,1.06,,,OZ,,,,Feb 21 2016 1,,,,3.90,,,,
4,,0089098500150,,,,1,,,PLANT FUSION,,,,PROTEIN-PLANT-VANILLA BEAN-12 PK,,,12.70,,,OZ,,,,Feb 21 2016 1,,,,4.15,,,,
5,,0064667068154,,,,1,,,SPROUTS,,,,PROTEIN-VEGAN-VANILLA-SINGLE,,,1.13,,,OZ,,,,Feb 21 2016 1,,,,4.90,,,,
6,,0064667068153,,,,1,,,SPROUTS,,,,PROTEIN-VEGAN-VANILLA-CS,,,11.29,,,OZ,,,,Feb 21 2016 1,,,,5.05,,,,
7,,0064667068157,,,,1,,,SPROUTS,,,,PROTEIN-VEGAN-CHOCOLATE-SINGLE,,,1.18,,,OZ,,,,Feb 21 2016 1,,,,4.90,,,,
8,,0064667068156,,,,1,,,SPROUTS,,,,PROTEIN-VEGAN-CHOCOLATE-CS,,,11.82,,,OZ,,,,Feb 21 2016 1,,,,5.05,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 1' 9.00"",    Height: 0' 7.75"",   Depth: 1' 0.00"",   Product: 1' 8.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
