HBA Department
34324 Liquid Soap-04' L-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 5",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 6.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081781001259,,,2,,THE HONEST COMPANY,,,,,HAND SANITIZER-SPRAY-GRPFRUIT GROVE,,,,2.00,,,FOZ,,,,,,,1.30,,,,
2,0081781001011,,,1,,THE HONEST COMPANY,,,,,HAND SANITIZER-GEL-GRAPEFRUIT GROVE,,,,8.00,,,FOZ,,,,,,,2.35,,,,
3,0001878711111,,,1,,DR BRONNERS,,,,,ORG LAVENDER HAND SANITIZER SPRAY,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,1.25,,,,
4,0089348100145,,,1,,CLEAN WELL,,,,,HAND SANITIZER-ORANGE VANILLA,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,1.45,,,,
5,0089348100113,,,1,,CLEAN WELL,,,,,HAND SANITIZER-SPRAY,,,,1.00,,,FOZ,,,,Jul 17 2016 1,,,1.45,,,,
6,0089348100141,,,1,,CLEAN WELL,,,,,HAND SANITIZER-WIPES,,,,10.00,,,PK,,,,,,,2.95,,,,
7,0063687422047,,,1,,EVERYONE,,,,,HAND SANITIZER GEL-PEPPRMINT & CITRS,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,1.40,,,,
8,0063687422050,,,1,,EVERYONE,,,,,HAND SANITIZER SPRAY-PEPPRMNT & CTRS,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,1.40,,,,
9,0063687422046,,,1,,EVERYONE,,,,,HAND SANITIZER GEL-COCONUT & LEMON,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,1.40,,,,
10,0063687422048,,,1,,EVERYONE,,,,,HAND SANITIZER SPRAY-COCONUT & LEMON,,,,2.00,,,FOZ,,,,Jul 17 2016 1,,,1.40,,,,
11,0063687422193,,,1,,EVERYONE,,,,,HAND SANITIZER WIPES,,,,30.00,,,CNT,,,,Jul 17 2016 1,,,4.00,,,,
12,0063687422314,,,1,,EVERYONE,,,,,HAND SANITIZER GEL-LAVENDER ALOE,,,,2.00,,,FOZ,,,,,,,1.40,,,,
13,0063687422313,,,1,,EVERYONE,,,,,HAND SANITIZER SPRAY-LAVENDER ALOE,,,,2.00,,,FOZ,,,,,,,1.40,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0063687412091,,,1,,EO,,,,,HAND SANITIZING SPRAY-LAVENDER,,,,0.33,,,FOZ,,,,Jul 17 2016 1,,,0.60,,,,
